Item Description,Order Fiscal Week,Quantity,System_Count,numericquarter,Normal_Rate,TrailingAnomaly_Lagged,TrailingUpperLimit_Lagged,TrailingAnomaly_Lagged_Filtered,Quarterly_YoY_Anomaly,Exceedance_4Week_Streak,Combined_Anomaly_Category
kkpart,202512,7,10864,1,0.00064,0,0.00094,0,1,0,Single Spike
kkpart,202513,7,10864,1,0.00064,0,0.00101,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202514,4,11010,2,0.00036,0,0.00098,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202515,6,11155,2,0.00054,0,0.00097,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202516,1,11155,2,0.00009,0,0.00085,0,0,0,Normal
kkpart,202517,6,11155,2,0.00054,0,0.00085,0,1,0,Single Spike
kkpart,202518,4,11155,2,0.00036,0,0.0009,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202519,5,11155,2,0.00045,0,0.00092,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202520,4,11155,2,0.00036,0,0.00092,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202521,2,11155,2,0.00018,0,0.00091,0,0,0,Normal
kkpart,202522,3,11155,2,0.00027,0,0.00091,0,0,0,Normal
kkpart,202523,4,11155,2,0.00036,0,0.00093,0,1,0,Single Spike
kkpart,202524,2,11155,2,0.00018,0,0.00079,0,0,0,Normal
kkpart,202525,3,11155,2,0.00027,0,0.00077,0,0,0,Normal
kkpart,202526,1,11155,2,0.00009,0,0.00077,0,0,0,Normal
kkpart,202527,3,11325,3,0.00026,0,0.00075,0,0,0,Normal
kkpart,202528,3,11410,3,0.00026,0,0.00074,0,0,0,Normal
kkpart,202529,5,11410,3,0.00044,0,0.00076,0,0,0,Normal
kkpart,202530,4,11410,3,0.00035,0,0.00069,0,0,0,Normal
kkpart,202531,10,11410,3,0.00088,1,0.0006,1,1,0,Single Spike
kkpart,202532,6,11410,3,0.00053,0,0.0006,0,0,0,Normal
kkpart,202533,6,11410,3,0.00053,0,0.00056,0,0,0,Normal
kkpart,202534,4,11410,3,0.00035,0,0.00053,0,0,0,Normal
kkpart,202535,8,11410,3,0.0007,1,0.00047,1,1,0,Single Spike
kkpart,202536,11,11410,3,0.00096,1,0.0005,1,1,0,Quarterly Anomaly (Out of Range)
kkpart,202537,4,11410,3,0.00035,0,0.00046,0,0,0,Normal
kkpart,202538,1,11410,3,0.00009,0,0.0007,0,0,0,Normal
kkpart,202539,3,11410,3,0.00026,0,0.00075,0,0,0,Normal
kkpart,202540,4,11482,4,0.00035,0,0.00078,0,0,0,Normal
kkpart,202541,6,11698,4,0.00051,0,0.00078,0,0,0,Normal
kkpart,202542,3,11698,4,0.00026,0,0.00083,0,0,0,Normal
kkpart,202543,10,11698,4,0.00085,0,0.001,0,1,0,Single Spike
kkpart,202544,6,11698,4,0.00051,0,0.00097,0,0,0,Normal
kkpart,202545,3,11698,4,0.00026,0,0.00097,0,0,0,Normal
kkpart,202546,4,11698,4,0.00034,0,0.001,0,0,0,Normal
kkpart,202547,5,11698,4,0.00043,0,0.00099,0,0,0,Normal
kkpart,202548,8,11698,4,0.00068,0,0.00098,0,0,0,Normal
kkpart,202549,8,11698,4,0.00068,0,0.00098,0,0,0,Normal
kkpart,202550,6,11698,4,0.00051,0,0.00097,0,0,0,Normal
kkpart,202551,7,11698,4,0.0006,0,0.00095,0,0,0,Normal
kkpart,202552,3,11698,4,0.00026,0,0.00096,0,0,0,Normal
kkpart,202553,2,11698,4,0.00017,0,0.00096,0,0,0,Normal
kkpart,202601,3,12271,1,0.00024,0,0.00094,0,0,0,Normal
kkpart,202602,10,12271,1,0.00081,1,0.00076,1,0,0,Single Spike
kkpart,202603,11,12271,1,0.0009,1,0.00083,1,0,0,Single Spike
kkpart,202604,6,12271,1,0.00049,0,0.00084,0,0,0,Normal
kkpart,202605,14,12271,1,0.00114,1,0.00085,1,1,0,Single Spike
