Item Description,Order Fiscal Week,Quantity,System_Count,numericquarter,Normal_Rate,TrailingAnomaly_Lagged,TrailingUpperLimit_Lagged,TrailingAnomaly_Lagged_Filtered,Quarterly_YoY_Anomaly,Exceedance_4Week_Streak,Combined_Anomaly_Category
XT,202510,4,10864,1,0.00037,0,0.0006,0,1,0,Single Spike
XT,202511,6,10864,1,0.00055,0,0.00059,0,1,0,Quarterly Anomaly (Out of Range)
XT,202512,6,10864,1,0.00055,0,0.00059,0,1,0,Quarterly Anomaly (Out of Range)
XT,202513,8,10864,1,0.00074,1,0.00062,1,1,0,Quarterly Anomaly (Out of Range)
XT,202514,4,11010,2,0.00036,0,0.00061,0,1,0,Quarterly Anomaly (Out of Range)
XT,202515,6,11155,2,0.00054,0,0.00064,0,1,0,Quarterly Anomaly (Out of Range)
XT,202516,1,11155,2,0.00009,0,0.00053,0,0,0,Normal
XT,202517,4,11155,2,0.00036,0,0.00054,0,1,0,Single Spike
XT,202518,7,11155,2,0.00063,1,0.0006,1,1,0,Quarterly Anomaly (Out of Range)
XT,202519,4,11155,2,0.00036,0,0.00064,0,1,0,Quarterly Anomaly (Out of Range)
XT,202520,4,11155,2,0.00036,0,0.00073,0,1,0,Quarterly Anomaly (Out of Range)
XT,202521,3,11155,2,0.00027,0,0.00074,0,0,0,Normal
XT,202522,4,11155,2,0.00036,0,0.00074,0,1,0,Single Spike
XT,202523,6,11155,2,0.00054,0,0.00076,0,1,0,Quarterly Anomaly (Out of Range)
XT,202525,3,11155,2,0.00027,0,0.00078,0,0,0,Normal
XT,202526,1,11155,2,0.00009,0,0.00078,0,0,0,Normal
XT,202527,3,11410,3,0.00026,0,0.00077,0,1,0,Single Spike
XT,202528,5,11410,3,0.00044,0,0.00077,0,1,0,Quarterly Anomaly (Out of Range)
XT,202529,5,11410,3,0.00044,0,0.00077,0,1,0,Quarterly Anomaly (Out of Range)
XT,202530,5,11410,3,0.00044,0,0.00076,0,1,0,Quarterly Anomaly (Out of Range)
XT,202531,8,11410,3,0.0007,1,0.00066,1,1,0,Quarterly Anomaly (Out of Range)
XT,202532,6,11410,3,0.00053,0,0.00067,0,1,0,Quarterly Anomaly (Out of Range)
XT,202533,6,11410,3,0.00053,0,0.00065,0,1,0,Quarterly Anomaly (Out of Range)
XT,202534,3,11410,3,0.00026,0,0.00063,0,1,0,Quarterly Anomaly (Out of Range)
XT,202535,4,11410,3,0.00035,0,0.00063,0,1,0,Quarterly Anomaly (Out of Range)
XT,202536,7,11410,3,0.00061,0,0.00064,0,1,0,Quarterly Anomaly (Out of Range)
XT,202537,4,11410,3,0.00035,0,0.00059,0,1,0,Quarterly Anomaly (Out of Range)
XT,202538,1,11410,3,0.00009,0,0.00069,0,0,0,Normal
XT,202539,1,11410,3,0.00009,0,0.00071,0,0,0,Normal
XT,202540,6,11506,4,0.00052,0,0.00075,0,0,0,Normal
XT,202541,4,11698,4,0.00034,0,0.00071,0,0,0,Normal
XT,202542,3,11698,4,0.00026,0,0.00071,0,0,0,Normal
XT,202543,8,11698,4,0.00068,0,0.00075,0,1,0,Single Spike
XT,202544,5,11698,4,0.00043,0,0.00075,0,0,0,Normal
XT,202545,2,11698,4,0.00017,0,0.00075,0,0,0,Normal
XT,202546,4,11698,4,0.00034,0,0.00077,0,0,0,Normal
XT,202547,3,11698,4,0.00026,0,0.00079,0,0,0,Normal
XT,202548,5,11698,4,0.00043,0,0.00076,0,0,0,Normal
XT,202549,5,11698,4,0.00043,0,0.00076,0,0,0,Normal
XT,202550,5,11698,4,0.00043,0,0.00075,0,0,0,Normal
XT,202551,7,11698,4,0.0006,0,0.00074,0,0,0,Normal
XT,202552,3,11698,4,0.00026,0,0.00071,0,0,0,Normal
XT,202553,3,11698,4,0.00026,0,0.00073,0,0,0,Normal
XT,202601,2,12271,1,0.00016,0,0.00073,0,0,0,Normal
XT,202602,9,12271,1,0.00073,1,0.00066,1,0,0,Single Spike
XT,202603,11,12271,1,0.0009,1,0.00068,1,1,0,Single Spike
XT,202604,7,12271,1,0.00057,0,0.00067,0,0,0,Normal
XT,202605,13,12271,1,0.00106,1,0.00066,1,1,1,Anomaly 3 out of 4 Detected
