Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,Revenue,Profit
SO171,3/30/2020,Distributor,USD,22,322,21,2,372.87,266.34,745.74,479.4
SO172,1/11/2020,In-Store,USD,20,70,19,4,302.63,216.16,1210.52,994.36
SO173,2/17/2020,Distributor,USD,4,361,38,5,236.89,169.2,1184.43,1015.23
SO174,3/9/2020,Online,USD,9,122,35,9,230.19,164.42,2071.71,1907.29
SO175,4/4/2020,Wholesale,USD,1,108,30,2,455,325,910.01,585.01
SO176,4/29/2020,In-Store,USD,14,300,12,4,387.58,276.84,1550.31,1273.47
SO177,5/25/2020,Wholesale,USD,3,264,12,2,616.25,440.18,1232.5,792.32
SO178,2/25/2020,Distributor,USD,3,200,26,9,320.75,229.11,2886.73,2657.62
SO179,3/24/2020,Online,USD,3,236,40,4,630.64,450.45,2522.54,2072.09
SO180,2/4/2020,In-Store,USD,14,22,41,10,648.02,462.87,6480.22,6017.35
SO181,1/30/2020,Online,USD,14,135,31,3,604.15,431.53,1812.45,1380.91
SO182,2/2/2020,In-Store,USD,17,263,37,2,178.6,127.57,357.19,229.62
SO183,4/1/2020,Wholesale,USD,7,18,9,9,214.71,153.36,1932.39,1779.02
SO184,3/18/2020,In-Store,USD,3,133,42,2,540.19,385.85,1080.38,694.53
SO185,2/7/2020,In-Store,USD,5,64,33,2,610.73,436.24,1221.46,785.23
SO186,4/2/2020,Online,USD,1,150,24,2,232.85,166.32,465.69,299.37
SO187,1/2/2020,Distributor,USD,6,318,28,1,456.21,325.86,456.21,130.35
SO188,4/29/2020,Wholesale,USD,17,166,15,3,231.19,165.13,693.56,528.43
SO189,2/3/2020,Distributor,USD,7,187,44,5,416.48,297.48,2082.39,1784.9
SO190,3/26/2020,Online,USD,25,308,25,3,296.63,211.88,889.89,678.01
SO191,4/30/2020,Wholesale,USD,8,193,30,8,444.05,317.18,3552.39,3235.21
SO192,4/26/2020,Wholesale,USD,7,321,5,6,356.35,254.54,2138.11,1883.58
SO193,3/22/2020,Distributor,USD,25,113,2,6,401.2,286.57,2407.21,2120.63
SO194,1/18/2020,Distributor,USD,4,186,4,6,389.06,277.9,2334.36,2056.46
SO195,5/14/2020,Wholesale,USD,6,216,34,3,152.2,108.71,456.6,347.89
SO196,3/14/2020,Online,USD,16,273,43,2,398.81,284.86,797.62,512.76
SO197,4/7/2020,Online,USD,3,287,28,5,393.33,280.95,1966.63,1685.69
SO198,2/7/2020,Online,USD,10,32,32,4,179.43,128.16,717.72,589.56
SO199,3/5/2020,Distributor,USD,14,33,16,5,604.1,431.5,3020.52,2589.02
SO200,2/20/2020,In-Store,USD,18,282,6,3,200.32,143.09,600.96,457.87
SO201,5/25/2020,Online,USD,4,137,4,7,648.4,463.14,4538.8,4075.66
SO202,5/30/2020,Distributor,USD,20,210,13,7,560.66,400.47,3924.65,3524.18
SO203,2/24/2020,Wholesale,USD,7,41,30,5,154.29,110.21,771.46,661.25
SO204,2/13/2020,Distributor,USD,7,188,3,10,595.34,425.24,5953.38,5528.14
SO205,1/14/2020,Online,USD,8,349,46,3,447.85,319.9,1343.56,1023.67
SO206,5/8/2020,Distributor,USD,21,244,34,3,338.03,241.45,1014.08,772.63
SO207,2/7/2020,In-Store,USD,18,226,13,8,414.29,295.92,3314.29,3018.37
SO208,3/10/2020,Distributor,USD,10,334,28,10,162.36,115.97,1623.58,1507.61
SO209,2/12/2020,Online,USD,2,98,13,6,330.02,235.73,1980.14,1744.41
SO210,3/4/2020,Distributor,USD,11,152,12,7,558.07,398.62,3906.48,3507.86
SO211,2/26/2020,Wholesale,USD,10,189,23,10,279.74,199.82,2797.43,2597.61
SO212,5/7/2020,Online,USD,2,14,40,5,617.48,441.06,3087.41,2646.35
SO213,1/16/2020,Online,USD,24,245,12,6,438.42,313.16,2630.5,2317.35
SO214,2/12/2020,Online,USD,12,39,24,10,445.84,318.46,4458.39,4139.93
SO215,1/6/2020,In-Store,USD,16,367,19,10,603.83,431.31,6038.35,5607.04
SO216,2/20/2020,Distributor,USD,10,45,8,1,309.25,220.89,309.25,88.36
SO217,3/5/2020,In-Store,USD,6,11,12,3,498.22,355.87,1494.67,1138.8
SO218,1/24/2020,Distributor,USD,5,153,32,8,481.33,343.81,3850.63,3506.82
SO219,1/23/2020,Online,USD,23,48,30,1,478.9,342.07,478.9,136.83
SO220,1/2/2020,Wholesale,USD,17,298,26,9,363.72,259.8,3273.52,3013.72
SO221,3/31/2020,Online,USD,13,360,3,6,419.08,299.34,2514.49,2215.14
SO222,2/12/2020,In-Store,USD,10,286,36,6,591.18,422.27,3547.08,3124.81
SO223,1/11/2020,Distributor,USD,18,239,8,4,156.32,111.65,625.26,513.61
SO224,4/3/2020,Distributor,USD,3,250,45,4,433.8,309.86,1735.2,1425.35
SO225,5/21/2020,Distributor,USD,19,125,12,9,522.1,372.93,4698.89,4325.96
SO226,1/9/2020,Wholesale,USD,6,17,16,9,469.64,335.45,4226.73,3891.27
SO227,4/10/2020,In-Store,USD,20,25,14,1,584.67,417.62,584.67,167.05
SO228,2/24/2020,Wholesale,USD,11,6,9,10,585.81,418.43,5858.08,5439.64
SO229,2/28/2020,In-Store,USD,8,303,43,5,389.11,277.94,1945.56,1667.62
SO230,5/19/2020,Wholesale,USD,26,136,20,4,525.75,375.54,2103,1727.46
SO231,4/8/2020,In-Store,USD,7,363,3,7,568.13,405.8,3976.88,3571.07
SO232,5/17/2020,In-Store,USD,26,297,45,9,305.32,218.09,2747.88,2529.79
SO233,3/18/2020,Wholesale,USD,21,5,29,10,342.21,244.43,3422.06,3177.62
SO234,3/20/2020,Online,USD,7,128,28,8,450.83,322.02,3606.61,3284.6
SO235,1/25/2020,Online,USD,10,255,40,5,563.06,402.19,2815.32,2413.13
SO236,4/8/2020,In-Store,USD,25,16,46,8,634.24,453.03,5073.94,4620.91
SO237,4/11/2020,In-Store,USD,5,194,31,5,543.48,388.2,2717.39,2329.19
SO238,1/14/2020,In-Store,USD,11,149,18,6,416.14,297.24,2496.84,2199.6
SO239,3/30/2020,In-Store,USD,5,352,5,8,587.99,419.99,4703.88,4283.89
SO240,2/7/2020,Distributor,USD,24,70,31,9,421.14,300.81,3790.24,3489.43
SO241,3/14/2020,Distributor,USD,9,188,19,5,220.05,157.18,1100.26,943.08
SO242,1/10/2020,Distributor,USD,3,163,42,2,391.88,279.91,783.75,503.84
SO243,4/8/2020,In-Store,USD,20,53,25,6,262.65,187.6,1575.88,1388.28
SO244,2/24/2020,Online,USD,14,363,38,10,211.8,151.29,2118.05,1966.76
SO245,3/22/2020,Distributor,USD,20,113,5,1,521.35,372.39,521.35,148.96
SO246,1/2/2020,Wholesale,USD,7,267,36,6,593.34,423.81,3560.02,3136.2
SO247,4/18/2020,Online,USD,10,188,15,9,475.45,339.61,4279.03,3939.42
SO248,4/10/2020,Wholesale,USD,18,167,26,5,253.1,180.79,1265.52,1084.73
SO249,2/20/2020,Distributor,USD,12,159,36,9,487.6,348.29,4388.42,4040.13
SO250,4/23/2020,In-Store,USD,4,11,10,5,549.4,392.43,2746.99,2354.56
SO251,3/2/2020,Distributor,USD,7,301,37,8,166.07,118.62,1328.6,1209.97
SO252,1/23/2020,Distributor,USD,16,54,37,6,626.04,447.17,3756.22,3309.05
SO253,3/13/2020,In-Store,USD,3,282,20,10,157.61,112.58,1576.08,1463.51
SO254,4/22/2020,Online,USD,22,6,26,8,300.21,214.44,2401.68,2187.24
SO255,2/28/2020,Online,USD,7,46,10,7,247.39,176.71,1731.74,1555.03
SO256,4/2/2020,Online,USD,15,253,24,6,502.08,358.63,3012.46,2653.83
SO257,1/26/2020,Wholesale,USD,19,7,24,6,294.77,210.55,1768.6,1558.05
SO258,4/21/2020,Wholesale,USD,22,326,32,10,217.15,155.11,2171.5,2016.39
SO259,3/12/2020,Distributor,USD,26,325,40,5,638.58,456.13,3192.89,2736.77
SO260,3/2/2020,Online,USD,12,192,34,1,530.74,379.1,530.74,151.64
SO261,5/11/2020,Distributor,USD,4,152,31,8,234.33,167.38,1874.62,1707.24
SO262,4/9/2020,Online,USD,24,101,4,6,447.03,319.3,2682.15,2362.85
SO263,5/24/2020,Online,USD,6,102,16,6,429.52,306.8,2577.15,2270.35
SO264,3/16/2020,Online,USD,22,343,18,7,342.44,244.6,2397.05,2152.45
SO265,2/8/2020,Wholesale,USD,1,240,27,2,364.92,260.65,729.83,469.18
SO266,4/23/2020,In-Store,USD,7,137,45,8,481.53,343.95,3852.23,3508.28
SO267,1/24/2020,Distributor,USD,9,285,10,3,174.47,124.62,523.4,398.78
SO268,4/15/2020,Online,USD,9,117,31,4,184.5,131.79,738,606.22
SO269,3/10/2020,In-Store,USD,5,47,13,5,226.29,161.64,1131.45,969.82
SO270,5/25/2020,In-Store,USD,24,124,24,7,354.94,253.53,2484.57,2231.04
SO271,2/14/2020,In-Store,USD,6,359,36,8,302.88,216.34,2423.06,2206.72
SO272,1/30/2020,Online,USD,3,251,23,1,177.57,126.84,177.57,50.74
SO273,3/13/2020,Wholesale,USD,21,131,25,8,239.37,170.98,1914.94,1743.97
SO274,3/31/2020,Distributor,USD,12,337,36,8,464.07,331.48,3712.58,3381.1
SO275,3/20/2020,Online,USD,10,253,7,4,156.63,111.88,626.51,514.63
SO276,2/17/2020,Wholesale,USD,12,161,14,1,198.14,141.53,198.14,56.61
SO277,5/18/2020,In-Store,USD,12,255,29,1,555.48,396.77,555.48,158.71
SO278,1/30/2020,Online,USD,20,132,13,8,511.49,365.35,4091.95,3726.59
SO279,2/15/2020,Online,USD,6,89,28,4,158.33,113.09,633.32,520.22
SO280,3/20/2020,Online,USD,2,140,3,7,387.4,276.71,2711.79,2435.07
SO281,5/14/2020,Distributor,USD,18,106,6,7,531.9,379.93,3723.3,3343.37
SO282,4/11/2020,In-Store,USD,6,197,21,7,577.96,412.83,4045.71,3632.88
SO283,5/20/2020,Distributor,USD,15,32,8,5,598.03,427.16,2990.13,2562.97
SO284,4/21/2020,Wholesale,USD,2,365,26,8,282.28,201.63,2258.24,2056.61
SO285,2/11/2020,Distributor,USD,15,103,19,8,336.59,240.42,2692.72,2452.3
SO286,4/19/2020,Wholesale,USD,3,124,34,5,316.13,225.8,1580.63,1354.83
SO287,2/29/2020,Distributor,USD,18,222,19,2,545.06,389.33,1090.11,700.79
SO288,4/26/2020,Online,USD,20,341,39,10,576.83,412.02,5768.35,5356.32
SO289,1/23/2020,Distributor,USD,23,94,35,7,173.24,123.74,1212.66,1088.92
SO290,3/7/2020,In-Store,USD,7,116,19,3,273.51,195.36,820.52,625.16
SO291,3/10/2020,Wholesale,USD,2,73,26,8,392.2,280.15,3137.63,2857.49
SO292,1/23/2020,Distributor,USD,5,293,3,10,499.78,356.98,4997.77,4640.78
SO293,3/13/2020,Online,USD,26,349,12,9,633.51,452.5,5701.55,5249.05
SO294,2/4/2020,In-Store,USD,25,213,21,8,334.67,239.05,2677.32,2438.28
SO295,5/29/2020,In-Store,USD,2,225,38,8,517.08,369.35,4136.67,3767.32
SO296,1/21/2020,Online,USD,7,64,22,7,327.32,233.8,2291.26,2057.46
SO297,1/14/2020,Wholesale,USD,20,74,39,1,168.56,120.4,168.56,48.16
SO298,5/22/2020,In-Store,USD,26,341,29,8,292.68,209.05,2341.41,2132.35
SO299,3/15/2020,Distributor,USD,8,190,42,1,569.78,406.99,569.78,162.8
SO300,5/24/2020,Wholesale,USD,26,318,31,4,514.27,367.34,2057.08,1689.74
SO301,5/9/2020,Wholesale,USD,18,56,10,8,200.82,143.45,1606.59,1463.14
SO302,2/6/2020,Online,USD,4,88,42,4,545.83,389.88,2183.3,1793.43
SO303,1/3/2020,Wholesale,USD,11,123,44,4,388.76,277.69,1555.04,1277.35
SO304,2/19/2020,Wholesale,USD,1,157,4,5,449.32,320.94,2246.59,1925.65
SO305,1/26/2020,Distributor,USD,10,260,27,4,341,243.57,1364,1120.43
SO306,2/13/2020,Wholesale,USD,20,44,6,6,414.57,296.12,2487.4,2191.28
SO307,1/25/2020,Wholesale,USD,11,113,23,6,540.97,386.41,3245.8,2859.4
SO308,2/5/2020,Online,USD,11,338,40,3,341.66,244.04,1024.98,780.93
SO309,4/4/2020,In-Store,USD,10,85,8,1,243.34,173.81,243.34,69.53
SO310,4/1/2020,Wholesale,USD,21,288,42,4,591.72,422.66,2366.87,1944.21
SO311,3/9/2020,Wholesale,USD,20,311,43,1,482.26,344.47,482.26,137.79
SO312,5/25/2020,Distributor,USD,14,346,35,5,226.79,161.99,1133.96,971.97
SO313,5/28/2020,Online,USD,23,185,13,6,584.15,417.25,3504.89,3087.64
SO314,1/31/2020,In-Store,USD,18,78,29,7,206.92,147.8,1448.43,1300.63
SO315,5/12/2020,In-Store,USD,25,34,44,1,350.03,250.02,350.03,100.01
